Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0248084517338711,0.00310273352138043,0.0968723741633463,0,0,0,0.406163631736865,0.000461069610454791,-2.8857514269128E-10,7.01700491225405E-05,0.000640210694979862,1.7426442216153E-09,0.000717621199840196,0,0,0,0,0,0,package://robotcanbang_1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotcanbang_1/meshes/base_link.STL,,head-1;Leg_Up_Back-3;Leg_Up_Front-2;Leg_Down - Copy-2;Leg_Down-3;JGB37-520-final-2;JGB37-520-final-1;Leg_Down - Copy-1;Leg_Down-2;Leg_Up_Front-1;Leg_Up_Back-2;TD-8135MG Servo-2;TD-8135MG Servo-3,root_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,-5.34068539392862E-10,6.0839499302183E-10,0.00471009224884603,0,0,0,0.035174827698133,1.52368231801454E-05,3.9005394908129E-10,-4.70997363357401E-14,1.52374393452278E-05,6.5076142600852E-14,2.57858861550236E-05,0,0,0,0,0,0,package://robotcanbang_1/meshes/right_wheel.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://robotcanbang_1/meshes/right_wheel.STL,,65mm-1/65mm蓝色轮胎总装-实际外径68mm.STEP-1/____.STEP-1;65mm-1/65mm蓝色轮胎总装-实际外径68mm.STEP-1/________.STEP-1;65mm-1/65mm蓝色轮胎总装-实际外径68mm.STEP-1/3MM______.STEP-1,Coordinate System3,Axis5,right_wheel_joint,continuous,0,0.10003,0.0325,-1.5708,0,0,base_link,0,0,1,10,20,,,,,,,,,,
"left_wheel ",1.11657100232421E-10,-8.01833147405159E-10,0.00153990775115411,0,0,0,0.0351748276981331,1.52375621811932E-05,-2.47721973242754E-10,-1.84932170636715E-14,1.52367003441801E-05,7.81747652153319E-14,2.57858861550237E-05,0,0,0,0,0,0,package://robotcanbang_1/meshes/left_wheel .STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://robotcanbang_1/meshes/left_wheel .STL,,65mm-2/65mm蓝色轮胎总装-实际外径68mm.STEP-1/____.STEP-1;65mm-2/65mm蓝色轮胎总装-实际外径68mm.STEP-1/________.STEP-1;65mm-2/65mm蓝色轮胎总装-实际外径68mm.STEP-1/3MM______.STEP-1,Coordinate System4,Axis6,left_wheel_joint,continuous,0,-0.10003,0.0325,-1.5708,0,0,base_link,0,0,-1,10,20,,,,,,,,,,
